,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
0,2020-03-27,Spouse,--,"Broward County Florida Airport Sys Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2037</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/54f358d2-7193-43cd-993c-f832c810a771/
1,2020-03-31,Spouse,--,"Martin County Florida Health Facilities Auth Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/15/2045</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/54f358d2-7193-43cd-993c-f832c810a771/
2,2020-03-27,Spouse,--,"Broward County Florida Airport Sys Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2037</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/54f358d2-7193-43cd-993c-f832c810a771/
3,2020-03-18,Spouse,--,"California State Var Purp General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 03/01/2035</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/54f358d2-7193-43cd-993c-f832c810a771/
4,2020-03-17,Spouse,DXCM,"DexCom, Inc.",Stock,Sale (Partial),"$250,001 - $500,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/8eae5ca1-bec4-44fd-b294-088d17ed7760/
5,2020-03-17,Spouse,PODD,Insulet Corporation,Stock,Sale (Partial),"$250,001 - $500,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/8eae5ca1-bec4-44fd-b294-088d17ed7760/
6,2020-03-04,Joint,--,INGERSOLL RAND PLC SHARES (Exchanged) <br> TRANE TECHNOLOGIES PLC (Received),Stock,Exchange,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/469d1b8f-262c-4cdc-9052-2f76ce33c2bc/
7,2020-03-04,Self,--,INGERSOLL RAND PLC SHS (Exchanged) <br> TRANE TECHNOLOGIES PLC (Received),Stock,Exchange,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/469d1b8f-262c-4cdc-9052-2f76ce33c2bc/
8,2020-03-11,Self,ILMN,"Illumina, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/469d1b8f-262c-4cdc-9052-2f76ce33c2bc/
9,2020-03-11,Self,CGNX,Cognex Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/469d1b8f-262c-4cdc-9052-2f76ce33c2bc/
10,2020-03-11,Self,SIEGY,Siemens Aktiengesellschaft,Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/469d1b8f-262c-4cdc-9052-2f76ce33c2bc/
11,2020-02-27,Joint,WCMIX,WCM Focused International Growth Fund Institutiona,Other Securities,Purchase,"$50,001 - $100,000","The filer's portfolio is managed by a third party investment professional. The filer was advised of these transactions on April 7, 2020. This activity is part of an ongoing long-term portfolio diversification strategy that regularly includes similar transactions.",Daniel S Sullivan,https://efdsearch.senate.gov/search/view/ptr/eb7f09d1-cd5b-48b5-a073-89dfe1a14f1c/
12,2020-02-27,Joint,RPM,RPM International Inc.,Stock,Sale (Partial),"$50,001 - $100,000","The filer's portfolio is managed by a third party investment professional. The filer was advised of these transactions on April 7, 2020. This activity is part of an ongoing long-term portfolio diversification strategy that regularly includes similar transactions.",Daniel S Sullivan,https://efdsearch.senate.gov/search/view/ptr/eb7f09d1-cd5b-48b5-a073-89dfe1a14f1c/
13,2020-03-20,Self,BAM,Brookfield Asset Management Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/7d096cf3-d20a-41fe-b493-f758a829a6ce/
14,2020-03-09,Self,C,Citigroup Inc.,Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/7d096cf3-d20a-41fe-b493-f758a829a6ce/
15,2020-03-25,Self,--,"Trilliant Networks, Inc. <div class=""text-muted""> <em>Company:</em> Trilliant Networks, Inc. &nbsp;(Redwood City, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Intelligent Network Solutions Company</div>",Other Securities,Sale (Full),"$1,001 - $15,000",--,Mark R Warner,https://efdsearch.senate.gov/search/view/ptr/e2727dd9-816b-4bcb-b303-9eaaa4c39215/
16,2020-03-09,Self,--,"Revival LOC, LLC <div class=""text-muted""> <em>Company:</em> Revival LOC, LLC &nbsp;(Springfield, NJ) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Line of Credit - Manufacturer</div>",Other Securities,Purchase,"$250,001 - $500,000",--,Mark R Warner,https://efdsearch.senate.gov/search/view/ptr/e2727dd9-816b-4bcb-b303-9eaaa4c39215/
